observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ht	prec	r	rdt	sept	ps
2833549-2008	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2008	NA			100,2			
2833549-2008	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2008	NA				39,9		
2833549-2008	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2008	NA	82					
2833549-2008	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2008	NA		137				
2833549-2008	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2008	NA						67,4
2833549-2008	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2008	NA					5	
2833560-2008	gnpis.lot:'CF07141'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VXTk45UQ==	CF07141	37400	2008	NA			107			
2833560-2008	gnpis.lot:'CF07141'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VXTk45UQ==	CF07141	37400	2008	NA				42,6		
2833560-2008	gnpis.lot:'CF07141'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VXTk45UQ==	CF07141	37400	2008	NA	86					
2833560-2008	gnpis.lot:'CF07141'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VXTk45UQ==	CF07141	37400	2008	NA		138				
2833560-2008	gnpis.lot:'CF07141'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VXTk45UQ==	CF07141	37400	2008	NA						73,6
2833560-2008	gnpis.lot:'CF07141'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VXTk45UQ==	CF07141	37400	2008	NA					4,8	
2833566-2008	gnpis.lot:'RE07083'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JURFVKVg==	RE07083	36816	2008	NA			107			
2833566-2008	gnpis.lot:'RE07083'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JURFVKVg==	RE07083	36816	2008	NA				42,6		
2833566-2008	gnpis.lot:'RE07083'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JURFVKVg==	RE07083	36816	2008	NA	95					
2833566-2008	gnpis.lot:'RE07083'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JURFVKVg==	RE07083	36816	2008	NA		134				
2833566-2008	gnpis.lot:'RE07083'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JURFVKVg==	RE07083	36816	2008	NA						72,6
2833566-2008	gnpis.lot:'RE07083'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JURFVKVg==	RE07083	36816	2008	NA					5,8	
2833558-2008	gnpis.lot:'RE07027'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyNw==	RE07027	RE07027	2008	NA			103,3			
